ExperimentControl	306	"StartTime = Jul 31, 2007 14:51:51.687"	"EndTime = Jul 31, 2007 14:54:36.299"	OperationCode = D1_B2_L2	OperationMode = 37	TestArticleName = HyDE	"Comments = ""Testing runs for HyDE for FY2007 IVHM Milestone (HyDE History=5)"""	FaultType = discrete	FaultMode = failed open	FaultLocation = ISH262	FaultInjection = manual	LoadLocation = 270	LoadName = PMP1	LoadSchedule = none	LoadLocation = 271	LoadName = LGT2	LoadSchedule = none	LoadLocation = 272	LoadName = FAN4	LoadSchedule = none	LoadLocation = 273	LoadName = LGT9	LoadSchedule = none																																																											
AntagonistData	2007-07-31 14:51:56.519 GMT-07:00	25.71389389	25.72854233	0.014648661	0.014648661	0.073243305	0.073243305	0.014648661	25.24513626	25.2597847	0.029297322	0.043945983	0.219729915	0.14648661	0.029297322	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	-37.91282997	14.18816659	0.219729915	0.439459831	0	0	71.86038208	69.89929199	70.30304718	70.93751526	72.20645142	71.86038208	71.0528717	66.43854523	69.55321503	67.64980316	66.95765686	67.56328583	67.24604797	71.34127045	81.0025177
AntagonistData	2007-07-31 14:51:57.019 GMT-07:00	25.71389389	25.74319077	0	0.029297322	0.14648661	0.073243305	0.014648661	25.2597847	25.2597847	0.014648661	0.029297322	0.29297322	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.014090026	-37.46147948	14.75182865	0.439459831	0.439459831	0	0	71.86038208	69.89929199	70.30304718	70.93751526	72.20645142	71.86038208	71.08171082	66.43854523	69.55321503	67.64980316	67.07301331	67.5056076	67.24604797	71.37010956	80.97367859
AntagonistData	2007-07-31 14:51:57.519 GMT-07:00	25.71389389	25.72854233	0	0.014648661	0.14648661	0.14648661	0.014648661	25.2597847	25.2597847	0	0.043945983	0.219729915	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	-37.19884926	14.93555145	0.219729915	0.439459831	0	0	71.86038208	69.84161377	70.33188629	70.93751526	72.1776123	71.86038208	71.08171082	66.49622345	69.52437592	67.64980316	67.07301331	67.5056076	67.10185242	71.37010956	80.97367859
AntagonistData	2007-07-31 14:51:58.019 GMT-07:00	25.72854233	25.72854233	0	0.014648661	0.073243305	0.073243305	0.014648661	25.2597847	25.27443314	0.014648661	0.043945983	0.29297322	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.012117892	-0.061011221	-0.014090026	3.88E-04	0.004297693	-0.045370823	-37.37599643	14.89754437	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.33188629	70.93751526	72.1776123	71.86038208	71.0528717	66.49622345	69.52437592	67.62096405	67.07301331	67.47676849	67.10185242	71.22590637	80.94483948
AntagonistData	2007-07-31 14:51:58.519 GMT-07:00	25.71389389	25.74319077	0	0.014648661	0.14648661	0.073243305	0.014648661	25.2597847	25.2597847	0.014648661	0.043945983	0.219729915	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	-37.62297668	14.66766073	0.219729915	0.219729915	0	0	71.88922119	69.87045288	70.27420807	70.93751526	72.23529053	71.86038208	71.0528717	66.49622345	69.55321503	67.62096405	67.07301331	67.47676849	67.15953064	71.22590637	80.94483948
AntagonistData	2007-07-31 14:51:59.019 GMT-07:00	25.71389389	25.72854233	0.014648661	0.029297322	0.073243305	0.073243305	0.014648661	25.2597847	25.2597847	0.014648661	0.043945983	0.219729915	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	-37.65296151	14.62268349	0.219729915	0.439459831	0	0	71.88922119	69.87045288	70.27420807	70.93751526	72.23529053	71.86038208	71.08171082	66.49622345	69.55321503	67.67864227	66.95765686	67.47676849	67.15953064	71.19706726	81.0025177
AntagonistData	2007-07-31 14:51:59.519 GMT-07:00	25.72854233	25.72854233	0.014648661	0.029297322	0.073243305	0.073243305	0.014648661	25.2597847	25.2597847	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.014090026	-35.4805085	17.66219762	0.219729915	0.439459831	0	0	71.88922119	69.89929199	70.27420807	70.90867615	72.23529053	71.86038208	71.08171082	66.46738434	69.55321503	67.67864227	66.95765686	67.62096405	67.30373383	71.19706726	81.0025177
AntagonistData	2007-07-31 14:52:00.019 GMT-07:00	25.71389389	25.72854233	0	0.014648661	0.073243305	0.073243305	0.014648661	25.2597847	25.27443314	0	0.029297322	0.29297322	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	-35.8459814	17.02002267	0.219729915	0.439459831	0	0	71.88922119	69.89929199	70.27420807	70.90867615	72.1776123	71.88922119	71.02403259	66.46738434	69.4955368	67.67864227	66.92881775	67.62096405	67.30373383	71.25475311	80.88716125
AntagonistData	2007-07-31 14:52:00.519 GMT-07:00	25.71389389	25.72854233	0	0.014648661	0.073243305	0.073243305	0.014648661	25.2597847	25.27443314	0.014648661	0.043945983	0.219729915	0.14648661	0.029297322	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.061011221	-35.47906186	17.45388201	0.219729915	0.439459831	0	0	71.88922119	69.89929199	70.30304718	70.93751526	72.1776123	71.88922119	71.02403259	66.49622345	69.4955368	67.67864227	66.92881775	67.44792938	67.33257294	71.25475311	80.88716125
AntagonistData	2007-07-31 14:52:01.019 GMT-07:00	25.71389389	25.74319077	0.014648661	0.014648661	0.14648661	0.14648661	0.014648661	25.2597847	25.2597847	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.045370823	-35.06098401	17.85473175	0.219729915	0.439459831	0	0	71.88922119	69.89929199	70.30304718	70.93751526	72.20645142	71.86038208	71.0528717	66.49622345	69.52437592	67.62096405	66.92881775	67.44792938	67.33257294	71.28359222	80.88716125
AntagonistData	2007-07-31 14:52:01.520 GMT-07:00	25.72854233	25.72854233	0.014648661	0.029297322	0.073243305	0.073243305	0	25.2597847	25.2597847	0.029297322	0.043945983	0.219729915	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	0.008207792	3.88E-04	-0.045370823	-35.45736232	17.70756939	0.219729915	0.439459831	0	0	71.9180603	69.87045288	70.24536133	70.93751526	72.20645142	71.86038208	71.0528717	66.49622345	69.52437592	67.62096405	67.04417419	67.44792938	67.27489471	71.28359222	80.85832214
AntagonistData	2007-07-31 14:52:02.020 GMT-07:00	25.71389389	25.74319077	0	0.014648661	0.14648661	0.073243305	0.014648661	25.2597847	25.27443314	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.061011221	-35.26140888	18.13669429	0.219729915	0.439459831	0	0	71.9180603	69.87045288	70.24536133	70.93751526	72.1776123	71.88922119	71.08171082	66.52506256	69.55321503	67.67864227	67.04417419	67.44792938	67.27489471	71.31243134	80.85832214
AntagonistData	2007-07-31 14:52:02.520 GMT-07:00	25.71389389	25.72854233	0	0.014648661	0.073243305	0.073243305	0.014648661	25.2597847	25.2597847	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	0.008207792	0.004297693	-0.045370823	-35.24102446	17.79936503	0	0.439459831	0	0	71.86038208	69.87045288	70.27420807	70.93751526	72.1776123	71.88922119	71.08171082	66.52506256	69.55321503	67.67864227	67.07301331	67.39025116	67.30373383	71.31243134	80.36804962
AntagonistData	2007-07-31 14:52:03.020 GMT-07:00	25.71389389	25.72854233	0	0.014648661	0.073243305	0.073243305	0.014648661	25.2597847	25.2597847	0	0.043945983	0.219729915	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	-35.75826265	17.586578	0.219729915	0.439459831	0	0	71.86038208	69.87045288	70.27420807	70.90867615	72.1776123	71.9180603	71.02403259	66.46738434	69.55321503	67.67864227	67.07301331	67.39025116	67.30373383	71.19706726	80.36804962
AntagonistData	2007-07-31 14:52:03.520 GMT-07:00	25.72854233	25.74319077	0	0.014648661	0.073243305	0.14648661	0.014648661	25.2597847	25.27443314	0	0.029297322	0.219729915	0.219729915	0.043945983	24.23437881	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.095392764	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	-0.003522506	-0.045370823	-35.1469931	18.06186374	0	0.439459831	0	0	71.88922119	69.87045288	70.27420807	70.90867615	72.1776123	71.9180603	71.02403259	66.46738434	69.55321503	67.67864227	66.98649597	67.47676849	67.24604797	71.19706726	80.48340607
AntagonistData	2007-07-31 14:52:04.020 GMT-07:00	25.71389389	25.74319077	0	0.014648661	0.14648661	0.073243305	0.014648661	25.2597847	25.2597847	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	0.004297693	-0.045370823	-35.87070573	17.55540957	0.219729915	0.439459831	0	0	71.88922119	69.87045288	70.27420807	70.90867615	72.20645142	71.88922119	71.02403259	66.55390167	69.55321503	67.67864227	66.98649597	67.47676849	67.24604797	71.19706726	80.48340607
AntagonistData	2007-07-31 14:52:04.520 GMT-07:00	25.72854233	25.72854233	0	0.014648661	0.073243305	0.073243305	0.014648661	25.2597847	25.27443314	0.029297322	0.043945983	0.29297322	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	-35.32834868	17.83066498	0	0.439459831	0	0	71.86038208	69.87045288	70.27420807	70.90867615	72.20645142	71.88922119	71.08171082	66.55390167	69.55321503	67.67864227	66.95765686	67.53444672	67.27489471	71.22590637	80.3103714
AntagonistData	2007-07-31 14:52:05.020 GMT-07:00	25.72854233	25.72854233	0.014648661	0.014648661	0.14648661	0.14648661	0.014648661	25.2597847	25.27443314	0.043945983	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	-35.5930831	17.90273376	0.219729915	0.659189746	0	0	71.86038208	69.87045288	70.30304718	70.90867615	72.20645142	71.86038208	71.08171082	66.49622345	69.52437592	67.64980316	66.95765686	67.53444672	67.27489471	71.22590637	80.3103714
AntagonistData	2007-07-31 14:52:05.520 GMT-07:00	25.72854233	25.74319077	0	0.014648661	0.073243305	0.14648661	0	25.2597847	25.2597847	0.014648661	0.043945983	0.29297322	0.219729915	0.029297322	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	-35.61254693	17.86735693	0.219729915	0.439459831	0	0	71.86038208	69.87045288	70.30304718	70.90867615	72.20645142	71.86038208	71.08171082	66.49622345	69.52437592	67.64980316	67.13069153	67.47676849	67.27489471	71.19706726	80.10848999
AntagonistData	2007-07-31 14:52:06.020 GMT-07:00	25.72854233	25.74319077	0	0.014648661	0.073243305	0.073243305	0.014648661	25.2597847	25.2597847	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	-35.81468146	17.6725871	0.219729915	0.439459831	0	0	71.86038208	69.87045288	70.27420807	70.93751526	72.20645142	71.86038208	71.08171082	66.46738434	69.4955368	67.64980316	67.13069153	67.47676849	67.15953064	71.19706726	80.10848999
AntagonistData	2007-07-31 14:52:06.520 GMT-07:00	25.71389389	25.74319077	0	0.014648661	0.073243305	0.14648661	0.014648661	25.2597847	25.2597847	0.043945983	0.029297322	0.29297322	0.29297322	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	-0.003522506	-0.045370823	-35.69868754	17.67416525	0.219729915	0.439459831	0	0	71.9180603	69.87045288	70.27420807	70.93751526	72.20645142	71.86038208	71.02403259	66.46738434	69.4955368	67.62096405	67.01533508	67.53444672	67.15953064	71.22590637	80.10848999
AntagonistData	2007-07-31 14:52:07.020 GMT-07:00	25.71389389	25.72854233	0.014648661	0.014648661	0.073243305	0.14648661	0.014648661	25.24513626	25.2597847	0.029297322	0.029297322	0.29297322	0.14648661	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	-35.57664405	18.07817128	0.439459831	0.439459831	0	0	71.9180603	69.89929199	70.30304718	70.96635437	72.1776123	71.86038208	71.02403259	66.52506256	69.4955368	67.62096405	67.01533508	67.53444672	67.18836975	71.22590637	80.10848999
AntagonistData	2007-07-31 14:52:07.520 GMT-07:00	25.72854233	25.74319077	0.043945983	0.029297322	0.14648661	0.073243305	0.014648661	25.24513626	25.27443314	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	0.008207792	3.88E-04	-0.045370823	-35.65160611	17.84421076	0.219729915	0.439459831	0	0	71.9180603	69.89929199	70.30304718	70.96635437	72.1776123	71.86038208	71.08171082	66.52506256	69.4955368	67.59212494	66.98649597	67.53444672	67.18836975	71.16822815	79.76242065
AntagonistData	2007-07-31 14:52:08.020 GMT-07:00	25.71389389	25.72854233	0	0.014648661	0.073243305	0.14648661	0.014648661	25.2597847	25.27443314	0.014648661	0.029297322	0.219729915	0.219729915	0.029297322	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	0.008207792	3.88E-04	-0.045370823	-35.30678065	18.17233414	0.219729915	0.439459831	0	0	71.86038208	69.87045288	70.27420807	70.93751526	72.1776123	71.86038208	71.08171082	66.46738434	69.4955368	67.59212494	66.98649597	67.39025116	67.30373383	71.16822815	79.76242065
AntagonistData	2007-07-31 14:52:08.520 GMT-07:00	25.72854233	25.74319077	0	0.029297322	0.14648661	0.073243305	0	25.2597847	25.2597847	0.029297322	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	0.008207792	0.012117892	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.045370823	-35.34478772	18.17483288	0.219729915	0.219729915	0	0	71.86038208	69.87045288	70.27420807	70.93751526	72.14877319	71.86038208	71.0528717	66.46738434	69.55321503	67.67864227	66.98649597	67.39025116	67.30373383	71.25475311	79.73357391
AntagonistData	2007-07-31 14:52:09.020 GMT-07:00	25.71389389	25.74319077	0.029297322	0.014648661	0.073243305	0.073243305	0.014648661	25.2597847	25.2597847	0.014648661	0.029297322	0.219729915	0.219729915	0.043945983	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	-0.003522506	0.008207792	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	-35.1118793	18.24913737	0.219729915	0.439459831	0	0	71.88922119	69.87045288	70.27420807	70.96635437	72.14877319	71.86038208	71.0528717	66.49622345	69.55321503	67.67864227	66.98649597	67.47676849	67.10185242	71.25475311	79.73357391
