ExperimentControl	310	"StartTime = Jul 31, 2007 16:06:06.879"	"EndTime = Jul 31, 2007 16:07:31.894"	OperationCode = D1_B1_L1	OperationMode = 34	TestArticleName = HyDE	"Comments = ""Testing runs for HyDE for FY2007 IVHM Milestone (HyDE History=5)"""	FaultType = discrete	FaultMode = failed off	FaultLocation = INV1	FaultInjection = manual	LoadLocation = 170	LoadName = LGT6	LoadSchedule = none	LoadLocation = 171	LoadName = FAN1	LoadSchedule = none	LoadLocation = 172	LoadName = FAN3	LoadSchedule = none	LoadLocation = 173	LoadName = LGT8	LoadSchedule = none																																																											
AntagonistData	2007-07-31 16:06:12.187 GMT-07:00	25.49416351	25.49416351	0.029297322	0.234378576	0.073243305	0.073243305	0.249027237	25.2597847	25.2597847	0.029297322	0	0.219729915	0.219729915	0.029297322	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	-0.003522506	3.88E-04	-0.045370823	15.63204101	17.40561697	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.27420807	70.85099792	72.09109497	71.77386475	70.90867615	81.78118896	79.82009888	76.35935211	67.07301331	67.59212494	67.21720886	69.35134125	66.35202789
AntagonistData	2007-07-31 16:06:12.687 GMT-07:00	25.49416351	25.50881195	0.029297322	0.219729915	0.073243305	0.14648661	0.234378576	25.2597847	25.2597847	0.029297322	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	15.61060449	17.59749353	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.30304718	70.85099792	72.11993408	71.83154297	70.90867615	81.72350311	79.79125977	76.24398804	67.07301331	67.59212494	67.21720886	69.35134125	66.35202789
AntagonistData	2007-07-31 16:06:13.187 GMT-07:00	25.49416351	25.52346039	0.014648661	0.219729915	0.14648661	0.14648661	0.190432593	25.24513626	25.2597847	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	0.008207792	0.008207792	-0.045370823	15.49671477	17.36511115	0.219729915	0.439459831	0	0	71.9180603	69.87045288	70.30304718	70.85099792	72.11993408	71.83154297	70.93751526	81.72350311	79.79125977	76.24398804	67.07301331	67.53444672	67.24604797	69.32250214	66.26551056
AntagonistData	2007-07-31 16:06:13.687 GMT-07:00	25.49416351	25.49416351	0	0.205081254	0.073243305	0.14648661	0.190432593	25.2597847	25.2597847	0	0.014648661	0.29297322	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	0.008207792	0.008207792	-0.045370823	15.98751897	17.69020976	0.219729915	0.439459831	0	0	71.9180603	69.87045288	70.33188629	70.87983704	72.14877319	71.80270386	70.93751526	81.60814667	79.7047348	76.18630981	67.07301331	67.53444672	67.24604797	69.32250214	66.26551056
AntagonistData	2007-07-31 16:06:14.187 GMT-07:00	25.49416351	25.50881195	0.029297322	0.190432593	0.14648661	0.073243305	0.175783932	25.24513626	25.27443314	0.029297322	0.014648661	0.219729915	0.14648661	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	0.008207792	0.012117892	-0.061011221	-0.014090026	3.88E-04	0.004297693	-0.045370823	15.98054882	17.96296643	0	0.439459831	0	0	71.88922119	69.87045288	70.33188629	70.87983704	72.14877319	71.80270386	70.93751526	81.60814667	79.7047348	76.18630981	67.13069153	67.59212494	67.27489471	69.40901947	66.40970612
AntagonistData	2007-07-31 16:06:14.687 GMT-07:00	25.49416351	25.52346039	0.014648661	0.190432593	0.14648661	0.14648661	0.175783932	25.24513626	25.2597847	0	0	0.219729915	0.219729915	0.014648661	24.23437881	24.20508194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	0.008207792	0.004297693	-0.061011221	15.93175773	18.00228864	0.219729915	0.219729915	0	0	71.88922119	69.87045288	70.30304718	70.87983704	72.09109497	71.80270386	70.93751526	81.435112	79.67589569	76.18630981	67.13069153	67.59212494	67.27489471	69.40901947	66.40970612
AntagonistData	2007-07-31 16:06:15.187 GMT-07:00	25.49416351	25.50881195	0	0.175783932	0.14648661	0.073243305	0.161135271	25.2597847	25.2597847	0	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	16.16019473	17.9200934	0.439459831	0.219729915	0	0	71.88922119	69.87045288	70.30304718	70.87983704	72.09109497	71.80270386	70.90867615	81.435112	79.67589569	76.21514893	67.10185242	67.56328583	67.27489471	69.38018036	66.40970612
AntagonistData	2007-07-31 16:06:15.687 GMT-07:00	25.49416351	25.50881195	0.029297322	0.161135271	0.073243305	0.073243305	0.161135271	25.24513626	25.2597847	0.029297322	0	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	16.03631007	18.06423097	0	0.439459831	0	0	71.88922119	69.84161377	70.30304718	70.87983704	72.14877319	71.80270386	70.90867615	81.29091644	79.61821747	76.21514893	67.10185242	67.56328583	67.15953064	69.38018036	66.40970612
AntagonistData	2007-07-31 16:06:16.187 GMT-07:00	25.52346039	25.52346039	0.014648661	0.161135271	0.073243305	0.073243305	0.14648661	25.2597847	25.24513626	0.029297322	0.014648661	0.219729915	0.219729915	0.014648661	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	15.95161609	17.80160074	0.439459831	0.439459831	0	0	71.88922119	69.84161377	70.30304718	70.87983704	72.14877319	71.83154297	70.93751526	81.29091644	79.61821747	76.18630981	67.07301331	67.53444672	67.15953064	69.32250214	66.12130737
AntagonistData	2007-07-31 16:06:16.687 GMT-07:00	25.49416351	25.50881195	0	0.14648661	0.073243305	0.073243305	0.14648661	25.2597847	25.2597847	0	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	16.39152501	18.09592545	0.219729915	0.439459831	0	0	71.88922119	69.87045288	70.27420807	70.87983704	72.14877319	71.83154297	70.93751526	81.26207733	79.61821747	76.18630981	67.07301331	67.53444672	67.24604797	69.32250214	66.12130737
AntagonistData	2007-07-31 16:06:17.187 GMT-07:00	25.49416351	25.52346039	0.014648661	0.14648661	0.073243305	0.14648661	0.131837949	25.2597847	25.2597847	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.045370823	-0.014090026	0.008207792	3.88E-04	-0.045370823	16.17834344	18.18706353	0.219729915	0.219729915	0	0	71.88922119	69.87045288	70.27420807	70.87983704	72.11993408	71.80270386	70.93751526	81.26207733	79.58937836	76.1574707	67.04417419	67.53444672	67.24604797	69.35134125	66.12130737
AntagonistData	2007-07-31 16:06:17.687 GMT-07:00	25.52346039	25.52346039	0	0.14648661	0.073243305	0.073243305	0.131837949	25.2597847	25.24513626	0	0.014648661	0.219729915	0.14648661	0.014648661	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.03283117	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	3.88E-04	0.004297693	-0.045370823	16.59694734	18.4703412	0.219729915	0.219729915	0	0	71.88922119	69.87045288	70.33188629	70.87983704	72.11993408	71.80270386	70.93751526	81.11787415	79.58937836	76.1574707	67.04417419	67.59212494	67.18836975	69.35134125	66.12130737
AntagonistData	2007-07-31 16:06:18.187 GMT-07:00	25.52346039	25.52346039	0.014648661	0.131837949	0.14648661	0.14648661	0.131837949	25.2597847	25.27443314	0.029297322	0.014648661	0.219729915	0.14648661	0.014648661	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	-0.003522506	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	16.8142058	18.91643119	0.219729915	0.439459831	0	0	71.88922119	69.87045288	70.33188629	70.87983704	72.11993408	71.86038208	70.93751526	81.11787415	79.53170013	76.07095337	67.01533508	67.59212494	67.18836975	69.35134125	66.46738434
AntagonistData	2007-07-31 16:06:18.687 GMT-07:00	25.49416351	25.53810883	0.014648661	0.131837949	0.073243305	0.073243305	0.117189288	25.2597847	25.2597847	0.029297322	0.014648661	0.29297322	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.061011221	-0.014090026	0.008207792	3.88E-04	-0.045370823	16.58682089	18.75756423	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.30304718	70.87983704	72.11993408	71.86038208	70.93751526	81.11787415	79.53170013	76.07095337	67.01533508	67.56328583	67.21720886	69.35134125	66.46738434
AntagonistData	2007-07-31 16:06:19.187 GMT-07:00	25.52346039	25.52346039	0.014648661	0.117189288	0.073243305	0.073243305	0.117189288	25.27443314	25.2597847	0.014648661	0	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	17.09656287	19.03715955	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.30304718	70.87983704	72.11993408	71.80270386	70.93751526	81.06019592	79.53170013	76.07095337	67.01533508	67.56328583	67.21720886	69.35134125	66.46738434
AntagonistData	2007-07-31 16:06:19.687 GMT-07:00	25.52346039	25.50881195	0	0.117189288	0.073243305	0.14648661	0.102540627	25.2597847	25.2597847	0.014648661	0.014648661	0.29297322	0.219729915	0.014648661	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	-0.003522506	0.004297693	-0.045370823	17.13483298	19.32753889	0.219729915	0.439459831	0	0	71.9180603	69.84161377	70.27420807	70.87983704	72.11993408	71.80270386	70.93751526	81.06019592	79.53170013	76.07095337	67.04417419	67.59212494	67.30373383	69.35134125	66.20782471
AntagonistData	2007-07-31 16:06:20.188 GMT-07:00	25.52346039	25.52346039	0	0.102540627	0.073243305	0.073243305	0.102540627	25.2597847	25.2597847	0	0	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.008207792	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.045370823	16.65415523	19.01098859	0.219729915	0.659189746	0	0	71.9180603	69.84161377	70.27420807	70.85099792	72.14877319	71.80270386	70.93751526	80.91600037	79.41634369	76.07095337	67.04417419	67.59212494	67.30373383	69.35134125	66.20782471
AntagonistData	2007-07-31 16:06:20.688 GMT-07:00	25.52346039	25.52346039	0	0.102540627	0.073243305	0.14648661	0.102540627	25.2597847	25.27443314	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	3.88E-04	-0.003522506	-0.045370823	16.82249108	18.8199011	0.219729915	0.439459831	0	0	71.9180603	69.87045288	70.27420807	70.85099792	72.14877319	71.80270386	70.93751526	80.91600037	79.41634369	76.07095337	67.13069153	67.56328583	67.27489471	69.35134125	66.49622345
AntagonistData	2007-07-31 16:06:21.188 GMT-07:00	25.52346039	25.52346039	0	0.102540627	0.073243305	0.073243305	0.087891966	25.2597847	25.27443314	0.029297322	0.014648661	0.219729915	0.14648661	0.014648661	24.24902725	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	3.88E-04	3.88E-04	-0.045370823	16.5327693	18.44772107	0.219729915	0.439459831	0	0	71.9180603	69.87045288	70.27420807	70.87983704	72.14877319	71.83154297	70.93751526	80.77180481	79.35866547	75.98443604	67.13069153	67.56328583	67.27489471	69.35134125	66.49622345
AntagonistData	2007-07-31 16:06:21.688 GMT-07:00	25.52346039	25.53810883	0	0.102540627	0.073243305	0.14648661	0.102540627	25.2597847	25.27443314	0.029297322	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	3.88E-04	0.001550373	16.4754299	18.36789305	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.27420807	70.87983704	72.14877319	71.83154297	70.93751526	80.77180481	79.35866547	75.98443604	67.04417419	67.59212494	67.21720886	69.32250214	66.23666382
AntagonistData	2007-07-31 16:06:22.188 GMT-07:00	25.52346039	25.52346039	0.014648661	0.087891966	0.14648661	0.073243305	0.087891966	25.2597847	25.2597847	0.029297322	0.014648661	0.219729915	0.219729915	0.029297322	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	3.88E-04	3.88E-04	-0.045370823	16.39060442	18.17851523	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.30304718	70.85099792	72.11993408	71.80270386	70.93751526	80.68527985	79.35866547	75.98443604	67.04417419	67.59212494	67.21720886	69.32250214	66.23666382
AntagonistData	2007-07-31 16:06:22.688 GMT-07:00	25.52346039	25.52346039	0	0.087891966	0.073243305	0.073243305	0.087891966	25.2597847	25.2597847	0.029297322	0.014648661	0.219729915	0.219729915	0.029297322	24.23437881	24.23437881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	0.008207792	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	16.45346734	18.19114041	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.30304718	70.85099792	72.11993408	71.80270386	70.96635437	80.68527985	79.35866547	75.98443604	67.13069153	67.59212494	67.21720886	69.38018036	66.32318878
AntagonistData	2007-07-31 16:06:23.188 GMT-07:00	25.52346039	25.53810883	0	0.087891966	0.073243305	0.073243305	0.087891966	25.2597847	25.2597847	0.014648661	0	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.076653075	-0.014090026	-0.003522506	3.88E-04	-0.045370823	16.54184366	18.24874284	0.219729915	0.439459831	0	0	71.88922119	69.84161377	70.27420807	70.85099792	72.09109497	71.80270386	70.96635437	80.5699234	79.27214813	75.98443604	67.13069153	67.59212494	67.21720886	69.38018036	66.32318878
AntagonistData	2007-07-31 16:06:23.688 GMT-07:00	25.52346039	25.53810883	0	0.087891966	0.14648661	0.073243305	0.087891966	25.2597847	25.2597847	0.014648661	0.014648661	0.219729915	0.219729915	0.014648661	24.24902725	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.048471568	0.079752365	3.88E-04	0.012117892	-0.061011221	-0.014090026	-0.003522506	0.004297693	-0.014090026	16.7271446	18.55424609	0.219729915	0.439459831	0	0	71.9180603	69.84161377	70.27420807	70.85099792	72.09109497	71.83154297	70.96635437	80.5699234	79.27214813	75.95559692	67.13069153	67.56328583	67.21720886	69.38018036	66.35202789
AntagonistData	2007-07-31 16:06:24.188 GMT-07:00	25.53810883	25.52346039	0.014648661	0.087891966	0.073243305	0.14648661	0.087891966	25.2597847	25.2597847	0.029297322	0.014648661	0.219729915	0.219729915	0.014648661	24.23437881	24.21973038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0.064111967	0.079752365	0.008207792	0.012117892	-0.045370823	-0.014090026	3.88E-04	3.88E-04	-0.045370823	16.48595089	18.33028051	0.219729915	0.439459831	0	0	71.9180603	69.84161377	70.27420807	70.82215881	72.11993408	71.83154297	70.96635437	80.42572784	79.21446228	75.95559692	67.13069153	67.56328583	67.21720886	69.38018036	66.35202789
