Master Index,before_after,date_diff,flight_length,label,hierarchy,fold,class,target_class,hclass,number_flights_before
104.0,0.0,1.0,11361.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
105.0,0.0,1.0,5570.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
107.0,1.0,-1.0,5941.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
109.0,0.0,1.0,7110.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
111.0,1.0,-1.0,3449.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
112.0,0.0,1.0,5991.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
118.0,1.0,-2.0,4683.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
121.0,1.0,-2.0,5676.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
128.0,1.0,-2.0,8388.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
131.0,0.0,2.0,6519.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
135.0,0.0,1.0,5367.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
142.0,1.0,-2.0,1695.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
147.0,0.0,1.0,5601.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
148.0,0.0,1.0,8965.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
149.0,0.0,1.0,5564.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
157.0,1.0,-2.0,4916.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
169.0,1.0,-2.0,7608.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
171.0,0.0,1.0,5314.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
173.0,0.0,1.0,4106.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
175.0,1.0,-2.0,2844.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
181.0,1.0,-1.0,4341.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
188.0,0.0,2.0,9436.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
189.0,0.0,1.0,3391.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
193.0,1.0,-2.0,5601.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
197.0,0.0,1.0,6658.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
202.0,1.0,-1.0,5736.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
203.0,1.0,-1.0,8557.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
205.0,1.0,-1.0,5054.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
211.0,0.0,2.0,4683.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
214.0,1.0,-2.0,5975.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
217.0,0.0,2.0,9856.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
219.0,0.0,1.0,6143.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
223.0,0.0,2.0,5849.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
226.0,0.0,2.0,5181.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
227.0,1.0,-1.0,4108.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
233.0,0.0,2.0,5754.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
235.0,1.0,-2.0,4667.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
237.0,1.0,-1.0,4216.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
238.0,1.0,-2.0,4648.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
247.0,1.0,-1.0,3313.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
248.0,0.0,1.0,6346.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
250.0,1.0,-2.0,4926.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
251.0,0.0,1.0,4356.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
254.0,1.0,-1.0,5243.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
256.0,1.0,-1.0,4698.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
261.0,0.0,1.0,4621.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
265.0,1.0,-1.0,6254.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
267.0,0.0,1.0,9120.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
274.0,0.0,1.0,4592.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
277.0,1.0,-1.0,4869.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
278.0,0.0,1.0,2752.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
281.0,0.0,2.0,5228.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
282.0,1.0,-1.0,3111.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
283.0,0.0,1.0,4385.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
284.0,1.0,-2.0,4651.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
285.0,1.0,-1.0,13073.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
287.0,0.0,1.0,5834.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
288.0,0.0,1.0,4728.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
296.0,0.0,1.0,5196.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
297.0,0.0,1.0,5255.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
302.0,0.0,1.0,5178.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
304.0,0.0,1.0,5130.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
314.0,0.0,2.0,1302.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
318.0,0.0,1.0,3548.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
325.0,0.0,2.0,1926.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
333.0,0.0,1.0,2860.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
335.0,0.0,1.0,4944.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
339.0,0.0,1.0,11144.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
342.0,1.0,-1.0,5306.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
347.0,0.0,1.0,4356.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
349.0,0.0,2.0,5578.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
351.0,0.0,1.0,5734.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
362.0,0.0,1.0,5382.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
364.0,0.0,1.0,5407.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
367.0,0.0,1.0,7531.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
369.0,0.0,2.0,4830.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
371.0,1.0,-1.0,5674.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
372.0,0.0,1.0,6000.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
374.0,1.0,-2.0,10347.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
376.0,1.0,-2.0,683.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
377.0,1.0,-1.0,6059.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
379.0,0.0,1.0,4808.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
382.0,1.0,-2.0,6924.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
383.0,1.0,-1.0,1538.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
384.0,0.0,1.0,6823.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
385.0,0.0,2.0,2659.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
387.0,1.0,-1.0,6457.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
388.0,0.0,1.0,3764.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
393.0,1.0,-1.0,3265.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
394.0,0.0,1.0,1443.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
396.0,1.0,-1.0,1597.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
397.0,1.0,-1.0,6411.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
402.0,0.0,1.0,5869.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
405.0,0.0,1.0,3964.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
407.0,1.0,-2.0,5987.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
408.0,0.0,1.0,9385.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
410.0,1.0,-1.0,7474.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
411.0,0.0,2.0,14765.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
413.0,1.0,-1.0,3407.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
426.0,0.0,1.0,4978.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
429.0,0.0,1.0,6051.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
430.0,1.0,-2.0,1975.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
431.0,1.0,-1.0,2003.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
432.0,0.0,2.0,5281.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
433.0,1.0,-1.0,6572.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
437.0,0.0,1.0,4894.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
441.0,0.0,2.0,6051.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
445.0,0.0,1.0,6936.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
450.0,0.0,1.0,4337.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
454.0,1.0,-1.0,1648.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
462.0,0.0,1.0,3655.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
467.0,1.0,-1.0,4589.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
469.0,0.0,2.0,5398.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
476.0,1.0,-2.0,6501.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
477.0,0.0,1.0,5772.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
478.0,1.0,-2.0,4450.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
479.0,0.0,1.0,6796.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
482.0,1.0,-2.0,5185.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
485.0,1.0,-1.0,5415.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
487.0,0.0,1.0,3995.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
489.0,1.0,-1.0,4637.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
496.0,1.0,-1.0,5477.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
503.0,1.0,-1.0,4775.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
504.0,0.0,1.0,4007.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
507.0,1.0,-1.0,6894.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
513.0,1.0,-2.0,5210.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
522.0,1.0,-2.0,7198.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
524.0,0.0,2.0,5955.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
528.0,0.0,1.0,6161.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
530.0,0.0,1.0,6643.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
533.0,1.0,-1.0,4185.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
538.0,0.0,2.0,1539.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
539.0,0.0,1.0,3964.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
541.0,0.0,1.0,5539.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
548.0,1.0,-1.0,7702.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
549.0,1.0,-1.0,5783.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
557.0,1.0,-2.0,4356.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
558.0,1.0,-1.0,1213.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
560.0,1.0,-1.0,4169.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
562.0,0.0,1.0,6143.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
564.0,0.0,1.0,6996.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
567.0,1.0,-1.0,5473.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
570.0,0.0,1.0,5041.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
572.0,1.0,-1.0,6713.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
574.0,0.0,1.0,2687.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
575.0,1.0,-1.0,4807.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
576.0,0.0,1.0,9736.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
578.0,0.0,2.0,4382.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
579.0,1.0,-1.0,1679.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
582.0,1.0,-1.0,6239.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
585.0,0.0,1.0,6545.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
589.0,0.0,2.0,4667.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
593.0,1.0,-1.0,5166.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
604.0,0.0,2.0,3775.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
605.0,1.0,-1.0,2272.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
610.0,0.0,2.0,7741.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
614.0,1.0,-1.0,5725.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
615.0,0.0,1.0,5129.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
617.0,1.0,-2.0,5136.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
622.0,1.0,-2.0,3298.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
623.0,0.0,1.0,6705.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
630.0,1.0,-2.0,7479.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
631.0,0.0,1.0,5663.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
634.0,0.0,2.0,4933.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
640.0,1.0,-1.0,7157.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
644.0,0.0,1.0,5632.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
647.0,0.0,2.0,5368.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
648.0,1.0,-1.0,5717.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
649.0,0.0,2.0,4305.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
653.0,0.0,1.0,5285.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
656.0,0.0,1.0,6563.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
660.0,0.0,1.0,2270.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
663.0,1.0,-1.0,5173.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
667.0,0.0,2.0,2143.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
671.0,0.0,1.0,9695.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
673.0,1.0,-1.0,4559.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
674.0,1.0,-1.0,5503.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
678.0,1.0,-2.0,5144.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
684.0,0.0,2.0,4232.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
690.0,0.0,2.0,7749.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
693.0,0.0,1.0,4848.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
695.0,0.0,2.0,808.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
696.0,1.0,-2.0,6048.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
703.0,1.0,-2.0,3753.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
704.0,0.0,1.0,5190.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
706.0,0.0,1.0,1739.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
709.0,0.0,1.0,3545.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
710.0,0.0,1.0,4557.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
711.0,0.0,2.0,4650.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
714.0,0.0,2.0,4745.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
715.0,0.0,1.0,5051.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
716.0,0.0,1.0,2876.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
719.0,0.0,1.0,6177.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
720.0,0.0,1.0,6929.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
722.0,0.0,1.0,5348.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
723.0,0.0,1.0,8593.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
733.0,0.0,1.0,6181.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
736.0,1.0,-2.0,6728.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
742.0,1.0,-1.0,5660.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
743.0,1.0,-1.0,4527.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
750.0,0.0,1.0,5518.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
751.0,0.0,1.0,4414.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
755.0,0.0,1.0,5260.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
758.0,1.0,-1.0,4092.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
759.0,0.0,2.0,637.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
761.0,0.0,1.0,9726.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
764.0,1.0,-1.0,5643.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
770.0,0.0,1.0,12849.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
771.0,0.0,1.0,9487.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
775.0,1.0,-2.0,4730.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
776.0,0.0,1.0,5181.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
780.0,0.0,1.0,4885.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
781.0,1.0,-1.0,10424.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
782.0,1.0,-2.0,2395.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
783.0,0.0,1.0,7187.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
792.0,1.0,-2.0,3749.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
793.0,1.0,-1.0,5423.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
803.0,0.0,1.0,2956.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
804.0,0.0,2.0,6192.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
807.0,0.0,1.0,8897.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
808.0,0.0,1.0,5177.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
814.0,0.0,1.0,5866.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
817.0,1.0,-2.0,2239.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
823.0,0.0,1.0,8871.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
824.0,0.0,1.0,4930.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
826.0,0.0,1.0,6364.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
829.0,1.0,-1.0,6052.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0
831.0,1.0,-1.0,7203.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0
833.0,0.0,1.0,6060.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
834.0,0.0,1.0,4698.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
835.0,1.0,-1.0,5461.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,3.0
837.0,0.0,1.0,1446.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
839.0,0.0,2.0,9864.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
840.0,0.0,2.0,4586.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
843.0,0.0,1.0,7678.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
845.0,1.0,-1.0,4325.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,4.0
846.0,0.0,1.0,5945.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
847.0,0.0,2.0,6406.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
848.0,1.0,-1.0,5615.0,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,2.0
849.0,0.0,1.0,6386.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
851.0,0.0,1.0,6311.0,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,-1.0
